2023-12-09T21:54:56.493Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:54:58.511Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:55:01.419Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:55:03.514Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:55:05.136Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:55:08.794Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:55:11.445Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:55:14.850Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:55:20.658Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:56:40.151Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:56:42.937Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:56:44.893Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:56:46.546Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:57:06.387Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:57:08.559Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:58:03.212Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:58:04.628Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:58:08.201Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:58:09.894Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:58:12.684Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:59:15.074Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:59:17.898Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:59:32.372Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:59:37.457Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:59:38.746Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:59:45.253Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:59:46.416Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:59:49.194Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:59:52.346Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:59:58.472Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T21:59:59.497Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:00:01.039Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:00:04.120Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:00:19.839Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:03:41.931Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:03:48.576Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:03:53.017Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:04:04.573Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:04:10.668Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:04:18.777Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:04:57.875Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:05:01.460Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:05:11.513Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:05:14.955Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:05:17.781Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:05:24.510Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:05:26.870Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:05:31.754Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:05:36.931Z [debug] [main] Not starting CMake driver: no kit selected
2023-12-09T22:05:39.076Z [debug] [main] Not starting CMake driver: no kit selected
